Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,908.19","2,010.83","2,317.69","2,385.71","2,516.01","2,534.92","2,400.62","2,515.55","2,449.94","2,543.14","2,459.20",n/a,n/a,2019
Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.051,0.053,0.059,0.06,0.063,0.064,0.06,0.061,0.06,0.06,0.061,n/a,n/a,2020
Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,19.101,n/a,n/a,2020
Afghanistan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,16.462,n/a,n/a,2020
Afghanistan,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",59.699,52.981,36.204,24.538,24.009,22.176,28.312,26.058,30.197,29.897,27.619,n/a,n/a,2020
Afghanistan,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2015. The base is March 2015=100 Primary domestic currency: Afghan afghani Data last updated: n/a,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671,n/a,n/a,2020
Afghanistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607,n/a,n/a,2020
Afghanistan,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2015. The base is March 2015=100 Primary domestic currency: Afghan afghani Data last updated: n/a,81.814,89.433,94.687,101.543,103.053,104.218,109,112.315,113.162,116.3,122.1,n/a,n/a,2020
Afghanistan,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",10.246,9.312,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,4.987,n/a,n/a,2020
Afghanistan,Volume of imports of goods and services,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2019 Base year: 2003 Methodology used to derive volumes: Deflation by survey-based price indexes Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Afghan afghani Data last updated: n/a,32.771,12.749,30.54,3.61,-14.292,16.07,-7.54,4.199,-5.188,-7.473,-2.925,n/a,n/a,2019
Afghanistan,Volume of Imports of goods,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2019 Base year: 2003 Methodology used to derive volumes: Deflation by survey-based price indexes Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Afghan afghani Data last updated: n/a,34,7.977,34.866,7.832,-16.002,24.27,-7.2,2.286,-8.103,-4.937,-2.844,n/a,n/a,2019
Afghanistan,Volume of exports of goods and services,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2019 Base year: 2003 Methodology used to derive volumes: Deflation by survey-based price indexes Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Afghan afghani Data last updated: n/a,10.856,2.823,-23.515,-37.604,51.906,-11.653,-14.811,-6.6,28.012,-3.838,0.534,n/a,n/a,2019
Afghanistan,Volume of exports of goods,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2019 Base year: 2003 Methodology used to derive volumes: Deflation by survey-based price indexes Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Afghan afghani Data last updated: n/a,-2.253,-9.483,4.546,9.76,34.978,12.886,13.944,18.11,2.545,1.531,-16.606,n/a,n/a,2019
Afghanistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,
Afghanistan,Employment,Persons,Millions,,,,,,,,,,,,,,,
Afghanistan,Population,Persons,Millions,Source: Source: Afghan authorities. Latest actual data: 2019 Primary domestic currency: Afghan afghani Data last updated: n/a,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,n/a,n/a,2019
Afghanistan,General government revenue,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,397.564,n/a,n/a,2020
Afghanistan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,25.694,n/a,n/a,2020
Afghanistan,General government total expenditure,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,432.266,n/a,n/a,2020
Afghanistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,27.937,n/a,n/a,2020
Afghanistan,General government net lending/borrowing,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",6.56,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.55,-34.703,n/a,n/a,2020
Afghanistan,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,-2.243,n/a,n/a,2020
Afghanistan,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,
Afghanistan,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,
Afghanistan,General government primary net lending/borrowing,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",6.643,-4.794,2.66,-6.075,-19.935,-16.27,2.35,-7.767,22.486,-14.971,-34.131,n/a,n/a,2020
Afghanistan,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.206,n/a,n/a,2020
Afghanistan,General government net debt,National currency,Billions,,,,,,,,,,,,,,,
Afghanistan,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,
Afghanistan,General government gross debt,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",54.784,62.726,69.865,77.111,102.928,112.281,103.181,102.807,98.042,90.092,114.461,n/a,n/a,2020
Afghanistan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,7.697,7.501,6.759,6.904,8.7,9.154,8.437,7.998,7.384,6.13,7.397,n/a,n/a,2020
Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",711.759,836.222,"1,033.59","1,116.83","1,183.04","1,226.57","1,222.92","1,285.46","1,327.69","1,469.60","1,547.29",n/a,n/a,2020
Afghanistan,Current account balance,U.S. dollars,Billions,"Source: Various sources: Central Statistical Office; ministry of finance, central bank, Directions of Trade Statistics; Afghanistan Investment Support Agency; IMF staff Latest actual data: 2020 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Afghan afghani Data last updated: n/a",4.51,4.754,2.205,0.291,1.35,0.744,1.627,1.431,2.237,2.209,2.247,n/a,n/a,2020
Afghanistan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,11.157,n/a,n/a,2020
Albania,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2023",673.204,690.339,700.125,707.14,719.688,735.657,760.044,788.943,820.653,837.786,808.617,877.475,910.293,2021
Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.019,2.088,-3.482,8.516,3.74,2021
Albania,"Gross domestic product, current prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2023","1,239.65","1,300.62","1,332.81","1,350.05","1,395.31","1,434.31","1,472.48","1,550.65","1,636.73","1,691.90","1,644.08","1,889.84","2,073.97",2021
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.161,18.31,18.509,2021
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.061,41.631,40.706,46.156,51.237,2021
Albania,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",184.141,188.404,190.368,190.917,193.876,194.969,193.736,196.547,199.442,201.949,203.32,215.372,227.835,2021
Albania,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","231,101.54","237,622.40","241,389.08","244,254.87","249,104.37","255,374.21","264,262.01","273,542.43","284,678.59","290,805.66","280,984.50","305,428.18","317,575.90",2021
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,016.55","11,327.40","11,506.95","11,643.57","11,874.74","12,173.62","12,597.30","13,039.70","13,570.55","13,862.63","13,394.46","14,559.68","15,138.76",2021
Albania,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","425,552.92","447,689.08","459,526.46","466,324.61","482,954.10","497,901.56","511,970.59","537,640.30","567,769.71","587,280.29","571,296.57","657,808.05","723,549.68",2021
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,525.89","5,257.71","5,345.06","5,268.24","6,373.30","6,457.22",2021
Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,725.55","10,207.74","10,526.27","10,570.98","11,259.26","11,662.00","12,077.60","13,039.70","13,896.82","14,450.53","14,144.72","16,065.85","17,875.12",2021
Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,
Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.031,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031,0.031,2021
Albania,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",43.756,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.856,40.641,40.389,40.945,40.478,2021
Albania,Total investment,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2023",31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.118,23.032,22.79,27.016,27.088,2021
Albania,Gross national savings,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2023",20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.109,14.742,14.074,16.51,16.019,2021
Albania,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2022 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Base year: 2015 Primary domestic currency: Albanian lek Data last updated: 03/2023",89.8,92.892,94.783,96.608,98.167,100,101.287,103.297,105.393,106.88,108.613,110.831,118.286,2022
Albania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.985,2.029,1.411,1.621,2.043,6.726,2022
Albania,"Inflation, end of period consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2022 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Base year: 2015 Primary domestic currency: Albanian lek Data last updated: 03/2023",91.8,93.4,95.7,97.4,98.1,100,102.165,104.011,105.882,107.1,108.225,112.229,120.563,2022
Albania,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",3.495,1.743,2.463,1.776,0.719,1.937,2.165,1.808,1.799,1.15,1.051,3.7,7.425,2022
Albania,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2023",-9.358,3.641,-7.608,-0.617,5.419,0.072,8.269,6.033,5.767,4.721,-19.54,23.749,7.203,2021
Albania,Volume of Imports of goods,Percent change,,"Source: Central Bank Latest actual data: 2021 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2023",-11.012,3.81,-5.197,-1.31,6.114,2.161,9.385,4.391,4.235,3.461,-5.081,18.269,1.949,2021
Albania,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2023",10.45,1.013,-0.409,8.286,3.313,5.254,10.316,10.18,3.468,1.71,-27.569,44.541,13.68,2021
Albania,Volume of exports of goods,Percent change,,"Source: Central Bank Latest actual data: 2021 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2023",60.695,12.223,23.234,26.685,-6.205,4.292,-0.573,-1.377,14.145,-8.414,-1.931,30.154,5.002,2021
Albania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 03/2023,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,11.4,11.1,2021
Albania,Employment,Persons,Millions,,,,,,,,,,,,,,,
Albania,Population,Persons,Millions,Source: National Statistics Office. INSTAT Latest actual data: 2021 Primary domestic currency: Albanian lek Data last updated: 03/2023,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,2.878,2.873,2.866,2021
Albania,General government revenue,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2022 Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government; Local Government; Social Security Funds; Monetary Public Corporations, incl. central bank; Nonfinancial Public Corporation; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Loans; Other Accounts Receivable/Payable Primary domestic currency: Albanian lek Data last updated: 03/2023",320.653,330.449,330.384,323.709,366.569,379.231,407.021,430.397,449.389,460.349,425.906,510.951,572.79,2022
Albania,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,25.867,25.407,24.789,23.977,26.272,26.44,27.642,27.756,27.457,27.209,25.905,27.037,27.618,2022
Albania,General government total expenditure,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2022 Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government; Local Government; Social Security Funds; Monetary Public Corporations, incl. central bank; Nonfinancial Public Corporation; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Loans; Other Accounts Receivable/Payable Primary domestic currency: Albanian lek Data last updated: 03/2023",364.29,376.183,376.241,394.117,442.718,441.161,429.073,452.193,475.91,491.928,536.28,596.278,651.015,2022
Albania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.162,29.077,29.075,32.619,31.552,31.39,2022
Albania,General government net lending/borrowing,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2022 Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government; Local Government; Social Security Funds; Monetary Public Corporations, incl. central bank; Nonfinancial Public Corporation; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Loans; Other Accounts Receivable/Payable Primary domestic currency: Albanian lek Data last updated: 03/2023",-43.637,-45.734,-45.857,-70.408,-76.149,-61.931,-22.052,-21.795,-26.521,-31.579,-110.374,-85.328,-78.226,2022
Albania,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-3.52,-3.516,-3.441,-5.215,-5.458,-4.318,-1.498,-1.406,-1.62,-1.866,-6.713,-4.515,-3.772,2022
Albania,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,
Albania,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,
